City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Airai,TL,-8.9266,125.4092,59.81,93,96,2.8,overcast clouds
189,Adrar,MR,20.5022,-10.0711,87.03,14,0,13.06,clear sky
190,Baie-Saint-Paul,CA,47.4411,-70.4986,34.41,83,3,3.51,clear sky
191,Souillac,MU,-20.5167,57.5167,80.98,78,40,10.36,scattered clouds
192,Arecibo,PR,18.4724,-66.7157,83.26,73,0,5.01,clear sky
193,Horasan,TR,40.0458,42.1728,45.52,84,100,2.91,moderate rain
194,Hithadhoo,MV,-0.6,73.0833,83.41,63,7,1.52,clear sky
195,Chuy,UY,-33.6971,-53.4616,68.34,58,0,5.75,clear sky
196,Llangefni,GB,53.2556,-4.3106,53.11,76,20,24.16,few clouds
197,Severo-Kurilsk,RU,50.6789,156.125,33.06,80,98,11.14,overcast clouds
198,Menongue,AO,-14.6585,17.691,75.78,61,100,3.42,overcast clouds
199,Kununurra,AU,-15.7667,128.7333,78.78,89,17,1.14,few clouds
200,Kahului,US,20.8947,-156.47,73.85,78,0,8.05,clear sky
201,Mangrol,IN,21.1167,70.1167,82.6,66,63,14.14,broken clouds
202,Portland,US,45.5234,-122.6762,40.41,90,20,3.0,few clouds
203,Clyde River,CA,70.4692,-68.5914,-1.97,78,0,9.22,clear sky
204,Suez,EG,29.9737,32.5263,100.83,9,0,23.35,clear sky
205,Puerto Baquerizo Moreno,EC,-0.9,-89.6,77.97,84,82,10.02,light rain
206,Norman Wells,CA,65.282,-126.8329,3.7,98,61,3.04,broken clouds
207,Tasiilaq,GL,65.6145,-37.6368,26.76,81,65,2.46,broken clouds
208,Quilmana,PE,-12.95,-76.3833,71.19,81,54,3.74,broken clouds
209,Tautira,PF,-17.7333,-149.15,81.79,75,100,24.09,overcast clouds
210,Coahuayana,MX,18.7333,-103.6833,65.01,69,25,2.01,scattered clouds
211,North Bend,US,43.4065,-124.2243,44.51,84,0,16.11,clear sky
212,Coquimbo,CL,-29.9533,-71.3436,53.33,100,100,2.3,haze
213,Bathsheba,BB,13.2167,-59.5167,81.21,69,75,20.71,broken clouds
214,Villa Maria,AR,-32.4075,-63.2402,69.82,80,0,9.46,clear sky
