City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Coruripe,BR,2022-04-03 15:08:06,-10.1256,-36.1756,82.96,70,55,12.17
230,Pasni,PK,2022-04-03 15:09:06,25.2631,63.471,78.22,68,7,4.88
231,Ciudad Bolivar,VE,2022-04-03 15:09:06,8.1222,-63.5497,85.62,53,98,8.1
232,Dawei,MM,2022-04-03 15:09:07,14.0833,98.2,75.43,56,98,6.93
233,Fairbanks,US,2022-04-03 15:06:51,64.8378,-147.7164,10.81,76,40,3.44
234,Kaitangata,NZ,2022-04-03 15:09:08,-46.2817,169.8464,46.89,95,72,4.97
235,Samarai,PG,2022-04-03 15:09:08,-10.6167,150.6667,80.64,77,100,6.93
236,Boende,CD,2022-04-03 15:09:08,-0.2167,20.8667,79.97,67,99,3.8
237,Garowe,SO,2022-04-03 15:09:09,8.4054,48.4845,89.62,22,29,17.98
238,Saint-Louis,SN,2022-04-03 15:09:09,16.3333,-15.0,96.4,16,3,13.78
239,Ardakan,IR,2022-04-03 15:09:09,32.31,54.0175,82.47,8,28,7.14
240,Tiksi,RU,2022-04-03 15:09:10,71.6872,128.8694,3.69,98,100,7.58
241,Airai,TL,2022-04-03 15:09:10,-8.9266,125.4092,58.41,86,95,1.3
242,Kuna,US,2022-04-03 15:09:11,43.4918,-116.4201,47.01,48,0,11.5
243,Longyearbyen,SJ,2022-04-03 15:09:11,78.2186,15.6401,8.44,56,20,18.41
244,Victor Harbor,AU,2022-04-03 15:09:11,-35.5667,138.6167,58.01,89,11,6.06
245,Deputatskiy,RU,2022-04-03 15:09:12,69.3,139.9,-18.38,99,33,2.66
246,Valley City,US,2022-04-03 15:06:34,46.9233,-98.0032,30.72,100,40,10.36
247,Concepcion Del Oro,MX,2022-04-03 15:09:12,24.6333,-101.4167,60.17,65,100,6.08
248,Catalina,US,2022-04-03 15:09:13,32.5056,-110.9211,66.96,37,77,2.21
249,Ulagan,RU,2022-04-03 15:09:13,50.6321,87.9563,33.64,94,99,3.36
